CO_ENTIDADE,DS_ENDERECO,QT_SALAS_UTILIZADAS,IN_QUADRA_ESPORTES_COBERTA,IN_PISCINA
41130910,RUA CATHARINA POTINA DE MAURO,10.0,1.0,0.0
41130928,RUA JACOB BREDA,3.0,0.0,0.0
41130936,RUA GUILHERME IHLENFELDT,14.0,0.0,0.0
41130944,RUA IRATI,19.0,0.0,0.0
41130952,AV ANITA GARIBALDI,7.0,0.0,0.0
41130979,RUA BRASILIO PERY MOREIRA,19.0,1.0,0.0
41130987,RUA PRESIDENTE CARLOS CAVALCANTI,27.0,1.0,0.0
41131002,RUA JULIO WISCHRAL,15.0,1.0,0.0
41131053,RUA MERCEDES SEILLER ROCHA,12.0,0.0,0.0
41131070,RUA PEDRO ELOY DE SOUZA,10.0,0.0,0.0
41131193,RUA MORRETES,13.0,1.0,0.0
41131215,PRACA CONSELHEIRO TOMAS COELHO,33.0,1.0,1.0
41131223,"RUA CAPITAO ROBERTO LOPES QUINTAS, SN",14.0,1.0,0.0
41131274,RUA JOSE BASSA,11.0,1.0,0.0
41131282,RUA CEL JOAO GUILHERME GUIMARAES,11.0,1.0,0.0
41131290,RUA AMAURY LANGE SILVERIO,10.0,1.0,0.0
41131304,RUA ENGENHEIRO BENEDITO MARIO DA SILVA,33.0,0.0,0.0
41131312,RUA GUILHERME FUGMANN,22.0,1.0,0.0
41131347,RUA JOAO DEMBINSKI,16.0,1.0,0.0
41131401,RUA JOSE HAUER,,,
41131410,RUA URBANO LOPES,6.0,0.0,0.0
41131444,RUA DOS FUNCIONARIOS,,,
41131452,RUA FIORAVANTE SLAVIEIRO,21.0,1.0,0.0
41131460,RUA PROF NARCISO MENDES,17.0,1.0,0.0
41131479,RUA GOIANIA,15.0,1.0,0.0
41131487,RUA MARECHAL HERMES,8.0,0.0,0.0
41131495,RUA AMERICO VESPUCIO,17.0,1.0,0.0
41131509,RUA BOCAIUVA,18.0,0.0,0.0
41131517,AV JORNALISTA ADERBAL G STRESSER,18.0,1.0,0.0
41131525,RUA JAIME VEIGA,,,
41131533,RUA PROFESSOR JOAO SOARES BARCELOS,12.0,1.0,0.0
41131576,RUA JOSE OSIRES BAGLIOLI,14.0,1.0,0.0
41131584,RUA DOUTOR ALCIDES VIEIRA ARCO-VERDE,32.0,1.0,0.0
41131592,AVENIDA WASHINGTON LUIZ,24.0,1.0,0.0
41131606,AVENIDA MANOEL RIBAS,13.0,1.0,0.0
41131614,RUA SUECIA,12.0,0.0,0.0
41131630,ALAMEDA PRESIDENTE TAUNAY,40.0,1.0,1.0
41131649,RUA CARLOS DE LAET,13.0,1.0,0.0
41131657,RUA EDUARDO GERONASSO,44.0,1.0,0.0
41131665,RUA AQUELINO ORESTES BAGLIOLI,17.0,1.0,0.0
41131673,FIORAVANTE DALLA STELLA,106.0,1.0,1.0
41131681,RUA DAVI XAVIER DA SILVA,20.0,1.0,0.0
41131690,AV. JOSE RICHA,103.0,1.0,0.0
41131703,R. BOM JESUS,50.0,1.0,0.0
41131711,RUA NICOLA PELLANDA,25.0,1.0,0.0
41131762,RUA HENRIQUE MATTIOLI,6.0,1.0,0.0
41131789,NOSSA SENHORA APARECIDA,17.0,1.0,0.0
41131819,RUA BATISTA PESSINE,9.0,1.0,0.0
41131843,RUA SINKE FERREIRA,9.0,0.0,0.0
41131878,RUA ANNE FRANK,10.0,0.0,0.0
41131886,RUA CLARA FILLA,12.0,1.0,0.0
41131894,AL PRINCESA IZABEL,,,
41131908,RUA ENGENHEIRO COSTA BARROS,15.0,1.0,0.0
41131916,RUA JOAO ALEXANDRE KOPP,10.0,1.0,0.0
41131924,RUA PEDRO BOCCHINO,43.0,1.0,0.0
41131959,AVENIDA IGUACU,,,
41131967,RUA JAIME VEIGA,14.0,1.0,0.0
41132025,AV VISCONDE DE GUARAPUAVA,14.0,0.0,0.0
41132050,RUA JOSE ALCIDES DE LIMA,11.0,1.0,0.0
41132076,RUA HUGO KINZELMANN,3.0,0.0,0.0
41132122,AV JOAO GUALBERTO,108.0,1.0,1.0
41132130,RUA BISPO DOM JOSE,54.0,1.0,0.0
41132149,RUA PROF ANGELO ANTONIO DALLEGRAVE,8.0,1.0,0.0
41132157,RUA PEDRO SIEMENS,15.0,1.0,0.0
41132173,RUA MONS MANOEL VICENTE,,,
41132203,RUA CURUPIS,23.0,0.0,0.0
41132211,RUA DR JOAQUIM I SILVEIRA DA MOTTA,10.0,1.0,0.0
41132220,AVENIDA CORONEL AUGUSTO DE ALMEIDA GARRET,40.0,1.0,0.0
41132238,RUA PEROLA DO OESTE,12.0,1.0,0.0
41132289,RUA VIRGINIA DALLABONA,14.0,1.0,0.0
41132297,AV BISPO DOM JOSE,16.0,0.0,0.0
41132300,AV REPUBLICA ARGENTINA,32.0,1.0,0.0
41132319,RUA PROFA DELMINDA SANTOS FERNANDES,13.0,1.0,0.0
41132335,RUA FERNANDO AMARO,18.0,0.0,0.0
41132343,RUA JOSE GONCALVES JUNIOR,24.0,0.0,0.0
41132360,RUA MORRETES,5.0,0.0,0.0
41132394,RUA CARLOS AUGUSTO CORNELSEN,13.0,0.0,0.0
41132475,RUA DANIEL CESARIO PEREIRA,11.0,1.0,0.0
41132483,RUA DR EUZEBIO DE OLIVEIRA,13.0,1.0,0.0
41132513,RUA JOAO MALTA DE ALBUQUERQUE MARANHAO,13.0,1.0,0.0
41132548,RUA CARLOS DE LAET,10.0,0.0,0.0
41132556,RUA JOSE FERREIRA PINHEIRO,17.0,1.0,1.0
41132572,RUA SALVADOR FERRANTE,16.0,1.0,0.0
41132580,RUA DO HERVAL,11.0,0.0,0.0
41132599,ALFERES ANGELO SAMPAIO,13.0,1.0,0.0
41132602,MARCELINO CHAMPAGNAT,80.0,1.0,1.0
41132637,RUA NILO PECANHA,,,
41132645,RUA MONTE CASTELO,10.0,0.0,0.0
41132670,AVENIDA PRESIDENTE WENCESLAU BRAZ,,,
41132696,RUA ARTHUR MARTINS FRANCO,14.0,1.0,0.0
41132718,RUA CIDADE GAUCHA,17.0,1.0,0.0
41132734,RUA HERMENEGILDO LUCA,15.0,1.0,0.0
41132750,RUA ODACIR SCHILIPACK,5.0,0.0,0.0
41132858,RUA EDMUNDO ALBERTO MERCER,,,
41132882,AV PRESIDENTE AFFONSO CAMARGO,23.0,1.0,0.0
41132904,RUA MARIA GERONASSO DO ROSARIO,10.0,1.0,0.0
41132912,RUA BISPO DOM JOSE,23.0,1.0,0.0
41132920,RUA BRIGADEIRO FRANCO,,,
41132939,RUA CELESTE TORTATO GABARDO,28.0,1.0,0.0
41132947,RUA FORTALEZA,17.0,1.0,0.0
41132955,RUA ALBINO FREDERICO FOERSTER,20.0,1.0,0.0
41132980,RUA DES.ANTONIO DE PAULA,16.0,1.0,0.0
41132998,RUA DAVID BODZIAK,22.0,1.0,0.0
41133005,RUA FREI GASPAR DA MADRE DE DEUS,29.0,1.0,0.0
41133030,RUA CEL VICTOR AGNER KENDRICK,12.0,1.0,0.0
41133048,AVENIDA IGUACU,36.0,1.0,0.0
41133072,RUA DOUTOR LUIZ FERNANDO VAN DER BROOCKE,,,
41133080,RUA CORONEL AGOSTINHO MACEDO,18.0,1.0,1.0
41133099,RUA JOSE ANTONIO LEPREVOST,10.0,1.0,0.0
41133102,RUA THEODORO MAKIOLKA,24.0,1.0,0.0
41133137,RUA BORTOLO PAULIN,26.0,1.0,0.0
41133145,RUA ASSIS BRASIL,12.0,0.0,0.0
41133153,RUA PROFESSOR JOAQUIM DE MATOS BARRETO,88.0,1.0,0.0
41133161,RUA JOAO TOBIAS DE PAIVA NETO,18.0,1.0,0.0
41133170,AVENIDA SETE DE SETEMBRO,26.0,1.0,0.0
41133188,RUA CASCAVEL,13.0,1.0,0.0
41133196,RUA DOUTOR PAMPHILO DASSUMPCAO,8.0,1.0,0.0
41133200,RUA AMADEU PIOTTO,20.0,1.0,0.0
41133226,RUA RIO GRANDE DO SUL,16.0,1.0,0.0
41133234,AV VEREADOR TOALDO TULIO,11.0,1.0,0.0
41133242,RUA JOSE SERRATO,12.0,0.0,0.0
41133277,RUA PAULO TURKIEWICZ,23.0,0.0,1.0
41133285,RUA PADRE JOSE JOAQUIM GORAL,21.0,1.0,0.0
41133293,PRACA RUI BARBOSA,21.0,1.0,0.0
41133307,BR 277 - RODOVIA DO CAFE - KM 99,3.0,0.0,0.0
41133323,RUA SILVEIRA PEIXOTO,8.0,0.0,0.0
41133331,RUA ORESTES CODEGA,8.0,0.0,0.0
41133340,RUA RAUL ZANON,18.0,1.0,0.0
41133358,RUA CEL JOSE CARVALHO DE OLIVEIRA,40.0,1.0,0.0
41133366,RUA NICOLA PELLANDA,7.0,0.0,0.0
41133390,RUA MAJOR FABRICIANO DO REGO BARROS,13.0,1.0,0.0
41133404,RUA MARIA DE LOURDES MICKOSZ,12.0,1.0,0.0
41133412,RUA ISAIAS REGIS DE MIRANDA,16.0,1.0,0.0
41133463,RUA GABRIEL FRECCEIRO DE MIRANDA,56.0,1.0,0.0
41133471,RUA CATULO DA PAIXAO CEARENSE,21.0,1.0,0.0
41133480,RUA DOTOR HELENO DA SILVEIRA,12.0,1.0,0.0
41133501,AVENIDA SENADOR ACCIOLY FILHO,17.0,1.0,0.0
41133528,RUA PADRE LEONARDO NUNES,25.0,1.0,0.0
41133544,RUA JACINTO ANTUNES DA SILVA,,,
41133552,RUA LODOVICO KAMINSKI,19.0,1.0,0.0
41133560,RUA PROFA MARIA HELENA K BREDOW,14.0,1.0,0.0
41133633,RUA PADRE JOAO WISLINSKI,,,
41133650,RUA WANDA WOLF,7.0,1.0,0.0
41133668,RUA EXPED ESTANISLAU WOJCIK,10.0,1.0,0.0
41133692,RUA ROCHA POMBO,16.0,0.0,0.0
41133722,RUA ANTONIO OLIVIO RODRIGUES,12.0,0.0,0.0
41133749,RUA DESEMBARGADOR CID CAMPELO,5.0,0.0,0.0
41133757,RUA JOAO NEGRAO,47.0,1.0,0.0
41133781,RUA ROBERT REDZIMSKI,19.0,1.0,0.0
41133790,RUA ORLANDO PERUCCI,9.0,0.0,0.0
41133811,RUA CHANC OSWALDO ARANHA,15.0,1.0,0.0
41133838,RUA DEPUTADO CARNEIRO DE CAMPOS,13.0,1.0,0.0
41133854,RUA ESTRADA DAS OLARIAS,6.0,1.0,0.0
41133943,RUA DA GLORIA,11.0,0.0,0.0
41133951,RUA LUIZ RONALDO CANALLI,8.0,1.0,0.0
41133994,RUA BARAO DE ANTONINA,7.0,0.0,0.0
41134028,RUA PRESIDENTE FARIA,,,
41134036,RUA DOUTOR ALEXANDRE GUTIERREZ,17.0,0.0,0.0
41134044,RUA DOUTOR ALEXANDRE GUTIERREZ,16.0,0.0,0.0
41134168,RUA EDUARDO SPRADA,24.0,1.0,0.0
41134176,RUA PEDRO SIQUEIRA CORTES,19.0,1.0,0.0
41134206,RUA DELEGADO TRINDADE,39.0,1.0,0.0
41134214,RUA FREI TEOFILO,10.0,1.0,0.0
41134249,RUA EDUARDO SPRADA,14.0,1.0,0.0
41134257,RUA WALDEMAR KOST,6.0,0.0,0.0
